sa2_code,sa2_name,state_name,industry_code,industry_label,opportunity_score,underserved_businesses,observed_businesses,expected_businesses_state_median_density,demand_index
310041302,"Redbank Plains","Queensland",L,"Rental, Hiring and Real Estate Services",277.765,213.52,28,241.52,0.7009
507051313,"Baldivis - South","Western Australia",L,"Rental, Hiring and Real Estate Services",226.1358,158.2,62,220.2,0.8295
213051468,"Werribee - West","Victoria",L,"Rental, Hiring and Real Estate Services",215.9627,160.96,103,263.96,0.7417
116031316,"Lethbridge Park - Tregear","New South Wales",L,"Rental, Hiring and Real Estate Services",214.5536,169.64,32,201.64,0.6647
318021582,"Burdell - Mount Low","Queensland",L,"Rental, Hiring and Real Estate Services",213.7951,150.98,35,185.98,0.8161
402021028,"Craigmore - Blakeview","South Australia",L,"Rental, Hiring and Real Estate Services",208.8861,164.25,22,186.25,0.6717
310041302,"Redbank Plains","Queensland",M,"Professional, Scientific and Technical Services",206.5867,158.81,77,235.81,0.7009
314021389,"Murrumba Downs - Griffin","Queensland",L,"Rental, Hiring and Real Estate Services",205.4766,154.04,74,228.04,0.7339
402021032,"Munno Para West - Angle Vale","South Australia",L,"Rental, Hiring and Real Estate Services",195.1786,138.5,54,192.5,0.8092
313021366,"Caboolture - South","Queensland",L,"Rental, Hiring and Real Estate Services",189.7726,158.46,73,231.46,0.5976
116031316,"Lethbridge Park - Tregear","New South Wales",M,"Professional, Scientific and Technical Services",189.5085,149.84,73,222.84,0.6647
102021056,"Warnervale - Wadalba","New South Wales",L,"Rental, Hiring and Real Estate Services",187.4609,139.26,60,199.26,0.7461
123021436,"Bradbury - Wedderburn","New South Wales",L,"Rental, Hiring and Real Estate Services",184.2854,155.54,29,184.54,0.5848
127011729,"Oran Park","New South Wales",L,"Rental, Hiring and Real Estate Services",183.7241,126.44,88,214.44,0.8531
402041044,"Paralowie","South Australia",L,"Rental, Hiring and Real Estate Services",177.4803,141.64,21,162.64,0.653
507051191,"Singleton - Golden Bay - Secret Harbour","Western Australia",L,"Rental, Hiring and Real Estate Services",177.4037,123.35,62,185.35,0.8382
116021629,"Marsden Park - Shanes Park","New South Wales",L,"Rental, Hiring and Real Estate Services",177.4029,117.03,126,243.03,0.9158
310031294,"Ripley","Queensland",L,"Rental, Hiring and Real Estate Services",176.9631,121.84,53,174.84,0.8525
310041304,"Springfield Lakes","Queensland",L,"Rental, Hiring and Real Estate Services",176.7524,118.58,124,242.58,0.8905
505031099,"Butler - Merriwa - Ridgewood","Western Australia",L,"Rental, Hiring and Real Estate Services",176.0907,150.58,36,186.58,0.5694
106011111,"Kurri Kurri - Abermain","New South Wales",M,"Professional, Scientific and Technical Services",175.2128,149.75,75,224.75,0.57
116011306,"Doonside - Woodcroft","New South Wales",L,"Rental, Hiring and Real Estate Services",174.2557,137.1,76,213.1,0.671
507031169,"Wellard (West) - Bertram","Western Australia",L,"Rental, Hiring and Real Estate Services",173.8456,122.79,38,160.79,0.8158
506011110,"Armadale - Wungong - Brookdale","Western Australia",L,"Rental, Hiring and Real Estate Services",172.7329,145.36,56,201.36,0.5883
213041578,"Melton South - Weir Views","Victoria",L,"Rental, Hiring and Real Estate Services",172.6228,139.98,48,187.98,0.6332
502011027,"Mandurah - North","Western Australia",L,"Rental, Hiring and Real Estate Services",171.0568,134.36,50,184.36,0.6732
209041224,"Wallan","Victoria",L,"Rental, Hiring and Real Estate Services",170.9546,126.5,119,245.5,0.7514
116031315,"Hassall Grove - Plumpton","New South Wales",L,"Rental, Hiring and Real Estate Services",170.7232,132.03,60,192.03,0.6931
213041358,"Melton West","Victoria",L,"Rental, Hiring and Real Estate Services",170.6596,139.04,57,196.04,0.6274
124051470,"St Clair","New South Wales",L,"Rental, Hiring and Real Estate Services",170.558,137.65,44,181.65,0.6391
123021444,"Rosemeadow - Glen Alpine","New South Wales",L,"Rental, Hiring and Real Estate Services",170.2989,137.96,60,197.96,0.6344
